,trial_0,trial_1,trial_2
1042,1.6785207986831665,1.6793160438537598,1.6825789213180542
1043,1.6784428358078003,1.6792356967926025,1.682503342628479
1044,1.678364872932434,1.679155707359314,1.6824281215667725
1045,1.6782869100570679,1.6790755987167358,1.6823534965515137
1046,1.6782091856002808,1.6789963245391846,1.6822785139083862
1047,1.6781316995620728,1.6789168119430542,1.682204008102417
1048,1.6780542135238647,1.6788368225097656,1.682129144668579
1049,1.6779767274856567,1.6787577867507935,1.6820544004440308
1050,1.6778994798660278,1.6786783933639526,1.6819801330566406
1051,1.677822232246399,1.6785993576049805,1.68190598487854
1052,1.67774498462677,1.6785204410552979,1.6818314790725708
1053,1.6776686906814575,1.6784417629241943,1.6817574501037598
1054,1.677591323852539,1.6783626079559326,1.6816834211349487
1055,1.6775145530700684,1.6782842874526978,1.6816096305847168
1056,1.6774380207061768,1.6782054901123047,1.6815356016159058
1057,1.6773616075515747,1.678127408027649,1.6814628839492798
1058,1.6772854328155518,1.6780492067337036,1.6813888549804688
1059,1.6772089004516602,1.6779710054397583,1.681315302848816
1060,1.6771330833435059,1.6778926849365234,1.6812422275543213
1061,1.6770570278167725,1.6778147220611572,1.6811686754226685
1062,1.6769813299179077,1.6777371168136597,1.681095838546753
1063,1.6769051551818848,1.6776591539382935,1.681023359298706
1064,1.6768300533294678,1.6775814294815063,1.6809501647949219
1065,1.6767539978027344,1.677504062652588,1.6808778047561646
1066,1.6766786575317383,1.677427053451538,1.6808048486709595
1067,1.6766034364700317,1.6773498058319092,1.6807324886322021
1068,1.6765282154083252,1.6772725582122803,1.6806600093841553
1069,1.676452875137329,1.6771955490112305,1.6805880069732666
1070,1.6763783693313599,1.6771184206008911,1.680516004562378
1071,1.6763031482696533,1.677042007446289,1.6804438829421997
1072,1.6762282848358154,1.676965355873108,1.680371642112732
1073,1.676153540611267,1.676888346672058,1.680299997329712
1074,1.6760786771774292,1.6768124103546143,1.6802284717559814
1075,1.6760047674179077,1.6767362356185913,1.6801567077636719
1076,1.6759305000305176,1.6766595840454102,1.680085301399231
1077,1.675856351852417,1.6765835285186768,1.6800141334533691
1078,1.6757819652557373,1.6765081882476807,1.6799427270889282
1079,1.675708293914795,1.6764322519302368,1.679871678352356
1080,1.6756342649459839,1.6763564348220825,1.6798008680343628
1081,1.6755603551864624,1.6762808561325073,1.679729700088501
1082,1.67548668384552,1.6762055158615112,1.6796587705612183
1083,1.6754131317138672,1.676129937171936,1.6795883178710938
1084,1.6753393411636353,1.6760550737380981,1.6795175075531006
1085,1.6752660274505615,1.6759796142578125,1.6794469356536865
1086,1.6751930713653564,1.6759045124053955,1.6793769598007202
1087,1.6751198768615723,1.675829529762268,1.6793065071105957
1088,1.675046682357788,1.6757549047470093,1.679236650466919
1089,1.6749740839004517,1.675680160522461,1.679166316986084
1090,1.6749011278152466,1.6756056547164917,1.6790969371795654
1091,1.6748288869857788,1.6755311489105225,1.679026484489441
1092,1.674755573272705,1.675457239151001,1.6789571046829224
1093,1.6746833324432373,1.675382375717163,1.6788873672485352
1094,1.6746108531951904,1.6753085851669312,1.6788181066513062
1095,1.6745386123657227,1.6752347946166992,1.678748607635498
1096,1.6744662523269653,1.6751611232757568,1.6786794662475586
1097,1.6743944883346558,1.6750870943069458,1.6786102056503296
1098,1.6743227243423462,1.675013542175293,1.6785411834716797
1099,1.674250841140747,1.6749398708343506,1.6784722805023193
1100,1.6741788387298584,1.6748658418655396,1.6784032583236694
1101,1.6741074323654175,1.6747928857803345,1.6783348321914673
1102,1.674035906791687,1.6747199296951294,1.6782662868499756
1103,1.6739646196365356,1.6746464967727661,1.6781977415084839
1104,1.6738932132720947,1.674573540687561,1.6781290769577026
1105,1.673822045326233,1.674500584602356,1.67806077003479
1106,1.6737507581710815,1.6744279861450195,1.6779924631118774
1107,1.6736799478530884,1.6743555068969727,1.677924633026123
1108,1.6736090183258057,1.6742827892303467,1.6778568029403687
1109,1.6735384464263916,1.6742103099822998,1.677788257598877
1110,1.6734678745269775,1.6741381883621216,1.6777211427688599
1111,1.6733970642089844,1.6740660667419434,1.677653193473816
1112,1.6733266115188599,1.6739939451217651,1.6775857210159302
